Ngày; close 
30/08/2021;1.431,05
31/08/2021;1.428,66
01/09/2021;1.426,94
06/09/2021;1.441,54
07/09/2021;1.444,10
08/09/2021;1.433,71
09/09/2021;1.447,28
10/09/2021;1.448,33
13/09/2021;1.444,99
14/09/2021;1.438,16
15/09/2021;1.444,85
16/09/2021;1.448,98
17/09/2021;1.455,59
20/09/2021;1.458,66
21/09/2021;1.446,22
22/09/2021;1.453,22
23/09/2021;1.458,23
24/09/2021;1.459,94
27/09/2021;1.439,20
28/09/2021;1.451,12
29/09/2021;1.450,52
30/09/2021;1.453,76
01/10/2021;1.441,83
04/10/2021;1.443,61
05/10/2021;1.456,21
06/10/2021;1.461,72
07/10/2021;1.462,74
08/10/2021;1.476,54
11/10/2021;1.510,27
12/10/2021;1.509,57
13/10/2021;1.505,55
14/10/2021;1.503,38
15/10/2021;1.504,84
18/10/2021;1.510,49
19/10/2021;1.507,19
20/10/2021;1.505,03
21/10/2021;1.489,26
22/10/2021;1.488,71
25/10/2021;1.476,97
26/10/2021;1.482,62
27/10/2021;1.516,46
28/10/2021;1.529,26
29/10/2021;1.532,35
01/11/2021;1.516,75
02/11/2021;1.521,35
03/11/2021;1.530,65
04/11/2021;1.528,21
05/11/2021;1.531,76
08/11/2021;1.535,66
09/11/2021;1.527,13
10/11/2021;1.523,79
11/11/2021;1.514,36
12/11/2021;1.527,94
15/11/2021;1.528,68
16/11/2021;1.517,22
17/11/2021;1.519,58
18/11/2021;1.503,42
19/11/2021;1.500,05
22/11/2021;1.517,04
23/11/2021;1.533,12
24/11/2021;1.565,29
25/11/2021;1.572,46
26/11/2021;1.566,55
29/11/2021;1.553,04
30/11/2021;1.537,59
01/12/2021;1.549,81
02/12/2021;1.540,88
03/12/2021;1.503,98
06/12/2021;1.480,92
07/12/2021;1.512,62
08/12/2021;1.516,16
09/12/2021;1.529,61
10/12/2021;1.519,46
13/12/2021;1.520,80
14/12/2021;1.516,44
15/12/2021;1.519,42
16/12/2021;1.510,17
17/12/2021;1.513,56
20/12/2021;1.513,60
21/12/2021;1.511,48
22/12/2021;1.504,12
23/12/2021;1.477,37
24/12/2021;1.506,67
27/12/2021;1.514,55
28/12/2021;1.523,54
29/12/2021;1.515,94
30/12/2021;1.519,62
31/12/2021;1.535,71
04/01/2022;1.558,87
05/01/2022;1.546,01
06/01/2022;1.544,95
